Ewe/V	<I>/mA	
-1.2204141E-001	-8.370426803594455E-005
-7.2079659E-002	-2.029799244126246E-003
-1.3203298E-001	-1.424830883080440E-002
-8.2097918E-002	-7.857774375400889E-004
-1.4207807E-001	-1.273331224858280E-002
-9.2108645E-002	-3.224552969068983E-003
-1.5209253E-001	-9.826489018216242E-003
-1.0209259E-001	-5.024856556349652E-004
-1.6208029E-001	-1.534452622816448E-002
-1.1205739E-001	-9.828503121576846E-004
-1.7210628E-001	-1.698269477234254E-002
-1.2210248E-001	-4.616378862861422E-003
-1.8204819E-001	-2.123207382617459E-002
-1.3207875E-001	-6.463935539115138E-003
-1.9204363E-001	-1.504891711257159E-002
-1.4205131E-001	2.119031034394977E-004
-2.0202757E-001	-1.209282561115202E-002
-1.5212309E-001	-3.741868604500327E-003
-2.1204583E-001	-1.515976970474567E-002
-1.6205359E-001	-4.628696082715669E-003
-2.2202979E-001	-1.758622843772178E-002
-1.7201464E-001	-4.641012720962720E-003
-2.3204051E-001	-1.964317607663332E-002
-1.8201761E-001	6.922678308441278E-004
-2.4199009E-001	-1.767244871946116E-002
-1.9205123E-001	-6.133391709168337E-004
-2.5200841E-001	-1.722903394951456E-002
-2.0202757E-001	-9.602333199337960E-005
-2.6204196E-001	-1.538147732254957E-002
-2.1205351E-001	4.212931033238890E-004
-2.7204120E-001	-1.901500621029451E-002
-2.2204126E-001	-2.719554047460764E-003
-2.8214347E-001	-1.743842363958398E-002
-2.3202142E-001	-2.916626590904931E-003
-2.9211992E-001	-1.811586215250915E-002
-2.4204743E-001	-1.709556269023811E-003
-3.0212668E-001	-1.608354947529735E-002
-2.5206187E-001	1.899338525442044E-003
-3.1211832E-001	-1.863317814986071E-002
-2.6200384E-001	-3.310771984791745E-003
-3.2212135E-001	-1.756159497064447E-002
-2.7202979E-001	-3.852721983416667E-003
-3.3208624E-001	-2.044378344209929E-002
-2.8210151E-001	-1.266142440726982E-003
-3.4209695E-001	-1.864549520635797E-002
-2.9212752E-001	-1.019801236144568E-003
-3.5209611E-001	-1.612050114800373E-002
-3.0216867E-001	-4.409003989665856E-004
-3.6211443E-001	-1.737683883778030E-002
-3.1212214E-001	-2.066750498113015E-003
-3.7212127E-001	-1.802964181068442E-002
-3.2208318E-001	-4.901684515061793E-004
-3.8214722E-001	-1.953232177202741E-002
