Ewe/V	<I>/mA	
-1.2233351E-001	2.875999733805656E-002
-7.2379299E-002	1.708060867557547E-002
-1.3229451E-001	1.695814985685434E-002
-8.2348041E-002	1.476179961016794E-002
-1.4242737E-001	1.343726635302057E-002
-9.2309028E-002	1.370621912018580E-002
-1.5238842E-001	1.231110007738680E-002
-1.0228157E-001	1.374029514261063E-002
-1.6241057E-001	1.186036060502070E-002
-1.1229982E-001	1.311506993096485E-002
-1.7238684E-001	1.041139050407022E-002
-1.2231055E-001	1.389165697744547E-002
-1.8243574E-001	1.511791993333286E-002
-1.3229071E-001	1.367412132274339E-002
-1.9239292E-001	1.363578625023365E-002
-1.4238919E-001	1.413672753173215E-002
-2.0239983E-001	1.590774210579916E-002
-1.5239222E-001	1.639042735638729E-002
-2.1236470E-001	1.642526303366034E-002
-1.6238759E-001	1.837791211020007E-002
-2.2239445E-001	1.713385105047716E-002
-1.7240593E-001	2.017128890550945E-002
-2.3238221E-001	1.674046146217731E-002
-1.8242426E-001	1.829196309366549E-002
-2.4236615E-001	1.811291369242202E-002
-1.9243491E-001	1.951731357768000E-002
-2.5239217E-001	1.396878383542594E-002
-2.0239596E-001	1.994934217982081E-002
-2.6241040E-001	1.470703600541282E-002
-2.1239901E-001	1.801935816369210E-002
-2.7235618E-001	1.742045021619633E-002
-2.2237916E-001	1.925277174357697E-002
-2.8239742E-001	1.539326200673601E-002
-2.3239361E-001	1.416547884999967E-002
-2.9235080E-001	2.143238831600877E-002
-2.4243110E-001	1.952552783536721E-002
-3.0240351E-001	2.151651219353518E-002
-2.5236920E-001	2.165098854181063E-002
-3.1237605E-001	1.848896303254949E-002
-2.6236844E-001	2.673356673231281E-002
-3.2237902E-001	2.252387012024798E-002
-2.7239439E-001	2.273136613133597E-002
-3.3235157E-001	1.955640918215315E-002
-2.8235543E-001	1.921991219157834E-002
-3.4238890E-001	1.913867815141657E-002
-2.9238516E-001	2.088413730753488E-002
-3.5236907E-001	2.480434323568270E-002
-3.0239210E-001	2.461632034663425E-002
-3.6236829E-001	2.583071752358598E-002
-3.1235307E-001	2.147619891169650E-002
-3.7238663E-001	1.959945917764000E-002
-3.2241720E-001	1.973986801917690E-002
-3.8231713E-001	1.823385283388049E-002
-3.3235916E-001	2.063085232301060E-002
-3.9233544E-001	2.411081530227960E-002
-3.4238899E-001	2.075118193796194E-002
-4.0234610E-001	1.287714934681052E-002
-3.5233849E-001	1.744555211644544E-002
-4.1232625E-001	1.820875122675679E-002
-3.6236829E-001	1.680724480304405E-002
-4.2230639E-001	1.339162939665947E-002
-3.7239811E-001	1.299397969795613E-002
-4.3238199E-001	1.067304154496224E-002
-3.8235149E-001	1.776029372057206E-002
-4.4233158E-001	1.315431761999700E-002
-3.9238122E-001	1.623176272023485E-002
-4.5231551E-001	1.398612508008562E-002
-4.0232700E-001	1.608770338686710E-002
-4.6229187E-001	1.306669448504216E-002
-4.1228807E-001	1.544087696764840E-002
-4.7228342E-001	1.186827121124819E-002
-4.2232168E-001	1.763357475503863E-002
-4.8238572E-001	1.161422568154928E-002
-4.3232092E-001	1.406203459858321E-002
-4.9238884E-001	9.874852131045692E-003
-4.4233546E-001	1.311111479345523E-002
-5.0239182E-001	1.073373872155985E-002
-4.5234221E-001	1.762383919120186E-002
-5.1239103E-001	1.233604897532065E-002
-4.6236822E-001	1.770096584928194E-002
-5.2234823E-001	1.805647743487382E-002
-4.7229490E-001	2.343052262032175E-002
-5.3235513E-001	1.605971185657459E-002
-4.8238581E-001	1.787027802348018E-002
-5.4240018E-001	1.643347735071473E-002
-4.9235827E-001	2.276483123966183E-002
-5.5237651E-001	1.881876494828233E-002
-5.0239182E-001	2.115780691360217E-002
-5.6239480E-001	1.615159494609408E-002
-5.1243299E-001	1.870786707173006E-002
-5.7236344E-001	1.514834441537728E-002
-5.2235973E-001	2.205152822235429E-002
-5.8232832E-001	1.569218368272286E-002
-5.3240860E-001	2.070843607959044E-002
-5.9240401E-001	1.439046838794568E-002
-5.4239637E-001	2.202262506686684E-002
-6.0233444E-001	1.617213112415292E-002
-5.5242229E-001	1.810044092886834E-002
-6.1237568E-001	1.536238067014653E-002
-5.6238335E-001	1.695860662790699E-002
-6.2237871E-001	1.199407645205980E-002
-5.7237870E-001	1.755507944979184E-002
-6.3233972E-001	1.157284798439168E-002
-5.8236653E-001	1.674974243716892E-002
-6.4236194E-001	1.248117374901872E-002
-5.9233904E-001	1.649523983974810E-002
-6.5232676E-001	8.502551663239516E-003
-6.0234588E-001	1.625990526346244E-002
-6.6237938E-001	9.485265695327844E-003
-6.1239094E-001	1.841563947009020E-002
-6.7240155E-001	1.257381676529271E-002
-6.2236726E-001	1.679659554729257E-002
-6.8233973E-001	7.468116330485081E-003
