Ewe/V	<I>/mA	
1.2785159E+000	1.904905128479004E+001
1.3284738E+000	2.661253293355304E+001
1.2684900E+000	1.739929199218750E+001
1.3185282E+000	2.513467534383136E+001
1.2584984E+000	1.618374633789063E+001
1.3085365E+000	2.375779533386230E+001
1.2485220E+000	1.497813161214194E+001
1.2984953E+000	2.238333574930823E+001
1.2385229E+000	1.375914891560873E+001
1.2885036E+000	2.104070790608722E+001
1.2285579E+000	1.262509822845459E+001
1.2785274E+000	1.982401657104492E+001
1.2184709E+000	1.159100564320880E+001
1.2685472E+000	1.868283398946124E+001
1.2084945E+000	1.057168356577554E+001
1.2585328E+000	1.754292678833008E+001
1.1985221E+000	9.573372522989899E+000
1.2485678E+000	1.647801780700684E+001
1.1883931E+000	8.666233062744141E+000
1.2385877E+000	1.554617691040039E+001
1.1784282E+000	7.840462207794189E+000
1.2285389E+000	1.466284974416098E+001
1.1683717E+000	7.028443018595382E+000
1.2186084E+000	1.378779951731363E+001
1.1584183E+000	6.260736465454102E+000
1.2085824E+000	1.300302918752033E+001
1.1484497E+000	5.594771703084305E+000
1.1984992E+000	1.232089265187579E+001
1.1384008E+000	4.982032140096024E+000
1.1884580E+000	1.166396808624268E+001
1.1283939E+000	4.364709377288818E+000
1.1784817E+000	1.102092361450195E+001
1.1183603E+000	3.795774221420288E+000
1.1684824E+000	1.047223440806070E+001
1.1083764E+000	3.317756255467728E+000
1.1584604E+000	1.000911521911621E+001
1.0984191E+000	2.863931894302368E+000
1.1484802E+000	9.536444664001465E+000
1.0884123E+000	2.399920860926308E+000
1.1385114E+000	9.073579470316560E+000
1.0783710E+000	1.983660856882732E+000
1.1285237E+000	8.704307238260895E+000
1.0684137E+000	1.645202954610188E+000
1.1185169E+000	8.376417160034180E+000
1.0583650E+000	1.307126740614573E+000
1.1084565E+000	8.032356103261307E+000
1.0483810E+000	9.471489985783901E-001
1.0984688E+000	7.705868403116867E+000
1.0383818E+000	6.416708230972290E-001
1.0884924E+000	7.458200772603348E+000
1.0283825E+000	4.002425484359247E-001
1.0785238E+000	7.228869756062821E+000
1.0183756E+000	1.272350251674652E-001
1.0685130E+000	6.963502089182526E+000
1.0084567E+000	-1.657642324765525E-001
1.0584680E+000	6.731623967488602E+000
9.9840397E-001	-3.968783766031265E-001
1.0484879E+000	6.559720675150544E+000
9.8845053E-001	-5.792229721943536E-001
1.0385307E+000	6.393165588378906E+000
9.7845888E-001	-8.030789891878758E-001
1.0284895E+000	6.183443705240890E+000
9.6843296E-001	-1.050237337748211E+000
1.0185245E+000	6.011031786600739E+000
9.5841849E-001	-1.227743268013000E+000
1.0084796E+000	5.898849010467529E+000
9.4844216E-001	-1.376089255015057E+000
9.9854517E-001	5.768584728240967E+000
9.3843150E-001	-1.582754850387573E+000
9.8850781E-001	5.592988808949784E+000
9.2847806E-001	-1.785982648531597E+000
9.7849327E-001	5.473293145497635E+000
9.1842920E-001	-1.922995646794636E+000
9.6850175E-001	5.401093959808350E+000
9.0844142E-001	-2.056061585744224E+000
9.5849866E-001	5.294259389241532E+000
8.9844221E-001	-2.252030928929649E+000
9.4851089E-001	5.147950967152909E+000
8.8849646E-001	-2.427371978759766E+000
9.3852693E-001	5.060216426849365E+000
8.7843233E-001	-2.544775485992432E+000
9.2856586E-001	5.019978523254395E+000
8.6845601E-001	-2.678223212560020E+000
9.1854376E-001	4.924985885620117E+000
8.5848349E-001	-2.851399739583336E+000
9.0849113E-001	4.799815177917480E+000
8.4851867E-001	-3.011715253194176E+000
8.9854527E-001	4.743023713429764E+000
8.3847743E-001	-3.110782225926719E+000
8.8852698E-001	4.713608582814530E+000
8.2849729E-001	-3.231878519058228E+000
8.7850481E-001	4.621417840321854E+000
8.1848282E-001	-3.411803722381592E+000
8.6852092E-001	4.521714051564530E+000
8.0849117E-001	-3.547543525695801E+000
8.5849875E-001	4.489752769470215E+000
7.9848433E-001	-3.636169036229454E+000
8.4851861E-001	4.458428382873535E+000
7.8846985E-001	-3.761467377344772E+000
8.3856523E-001	4.367637952168778E+000
7.7840185E-001	-3.942156394322716E+000
8.2848966E-001	4.288562774658203E+000
7.6840270E-001	-4.068346182505294E+000
8.1852859E-001	4.273409684499100E+000
7.5836146E-001	-4.140163421630859E+000
8.0854082E-001	4.240812142690018E+000
7.4837750E-001	-4.273483673731484E+000
7.9851484E-001	4.154478152592979E+000
7.3837447E-001	-4.448570410410568E+000
7.8855002E-001	4.078076918919884E+000
7.2839814E-001	-4.554004192352295E+000
7.7844769E-001	4.055283625920616E+000
7.1842182E-001	-4.613852024078369E+000
7.6848286E-001	4.029307365417480E+000
7.0838821E-001	-4.751756191253662E+000
7.5848746E-001	3.934442361195885E+000
6.9841570E-001	-4.911435286204025E+000
7.4842715E-001	3.864917437235512E+000
6.8842798E-001	-4.997896194458008E+000
7.3845845E-001	3.872302770614624E+000
6.7845547E-001	-5.073533693949386E+000
7.2847831E-001	3.826589345932007E+000
6.6841805E-001	-5.216022014617920E+000
7.1845996E-001	3.726248741149902E+000
6.5837681E-001	-5.370225111643478E+000
7.0855236E-001	3.668056329091385E+000
6.4843488E-001	-5.448536713918045E+000
6.9850737E-001	3.672895272572831E+000
6.3847381E-001	-5.528758207956955E+000
6.8851191E-001	3.613302071889237E+000
6.2838298E-001	-5.676977157592773E+000
6.7847455E-001	3.498445351918534E+000
6.1842191E-001	-5.826086839040130E+000
6.6845244E-001	3.439488967259720E+000
6.0839212E-001	-5.904270966847733E+000
6.5846843E-001	3.434904893239334E+000
5.9845018E-001	-5.993533293406173E+000
6.4846921E-001	3.355829397837319E+000
5.8843946E-001	-6.154867649078369E+000
6.3850814E-001	3.234478712081909E+000
5.7838297E-001	-6.301813125610352E+000
6.2842494E-001	3.179724375406899E+000
5.6840670E-001	-6.374521732330322E+000
6.1847538E-001	3.149545749028526E+000
5.5843800E-001	-6.483011563618973E+000
6.0849142E-001	3.040291786193848E+000
5.4842728E-001	-6.657843112945557E+000
5.9843874E-001	2.913210789362587E+000
5.3840899E-001	-6.804533799489349E+000
5.8848912E-001	2.855018456776932E+000
5.2846324E-001	-6.881572087605804E+000
5.7851666E-001	2.801537513732910E+000
5.1843727E-001	-7.011835892995194E+000
5.6846780E-001	2.665161053339638E+000
5.0843424E-001	-7.207678476969406E+000
5.5848002E-001	2.521526336669922E+000
4.9847701E-001	-7.357425053914398E+000
5.4855329E-001	2.443469683329262E+000
4.8848543E-001	-7.442230542500809E+000
5.3849685E-001	2.358027458190918E+000
4.7846329E-001	-7.600635846455887E+000
5.2847087E-001	2.188289165496826E+000
4.6842206E-001	-7.818762143452972E+000
5.1849836E-001	2.019951502482094E+000
4.5846102E-001	-7.978058338165283E+000
5.0848007E-001	1.922794421513874E+000
4.4849995E-001	-8.095080216725663E+000
4.9853045E-001	1.789474089940388E+000
4.3846637E-001	-8.300472577412933E+000
4.8849303E-001	1.573894898096718E+000
4.2853591E-001	-8.536297798156738E+000
4.7852436E-001	1.380726774533589E+000
4.1852519E-001	-8.718387603759766E+000
4.6858242E-001	1.245114326477051E+000
4.0854508E-001	-8.879467328389495E+000
4.5847628E-001	1.064297656218210E+000
3.9851147E-001	-9.128663380940765E+000
4.4846177E-001	8.022411266962681E-001
3.8852751E-001	-9.406000455220550E+000
4.3847021E-001	5.746923486391697E-001
3.7845576E-001	-9.620178540547698E+000
4.2853969E-001	4.081373512744904E-001
3.6843744E-001	-9.836013158162444E+000
4.1852519E-001	1.715478176871936E-001
3.5836568E-001	-1.015549786885580E+001
4.0850306E-001	-1.346943537549427E-001
3.4838936E-001	-1.047421836853027E+001
3.9856109E-001	-3.990431030591335E-001
3.3840540E-001	-1.073423830668131E+001
3.8848934E-001	-6.192063887914028E-001
3.2840616E-001	-1.100750064849854E+001
3.7857029E-001	-9.213737249374390E-001
3.1842223E-001	-1.137550067901611E+001
3.6854053E-001	-1.278550148010254E+000
3.0841535E-001	-1.173433272043863E+001
3.5846111E-001	-1.596889138221741E+000
2.9844287E-001	-1.203293418884277E+001
3.4845808E-001	-1.886195739110313E+000
2.8843600E-001	-1.236795488993329E+001
3.3847412E-001	-2.253686189651489E+000
2.7839860E-001	-1.280624389648438E+001
3.2847109E-001	-2.657849550247192E+000
2.6844135E-001	-1.320671335856122E+001
3.1843749E-001	-2.999745766321823E+000
2.5841159E-001	-1.354568131764731E+001
3.0844209E-001	-3.344570398330688E+000
2.4841619E-001	-1.394398657480875E+001
2.9851541E-001	-3.762358665466309E+000
2.3843221E-001	-1.443741289774579E+001
2.8844747E-001	-4.212744712829590E+000
2.2846736E-001	-1.487009906768799E+001
2.7841386E-001	-4.595133463541671E+000
2.1847577E-001	-1.524051761627197E+001
2.6847956E-001	-4.972556114196777E+000
2.0850326E-001	-1.567626158396402E+001
2.5851467E-001	-5.429818471272796E+000
1.9852695E-001	-1.617401568094891E+001
2.4853455E-001	-5.882242202758789E+000
1.8844755E-001	-1.660479227701825E+001
2.3846276E-001	-6.252024491628006E+000
1.7851704E-001	-1.698157755533856E+001
2.2847882E-001	-6.634031613667815E+000
1.6847582E-001	-1.741197395324707E+001
2.1852158E-001	-7.083016713460296E+000
1.5850715E-001	-1.787980461120605E+001
2.0850328E-001	-7.504115422566741E+000
1.4845447E-001	-1.825086021423340E+001
1.9843151E-001	-7.834297021230057E+000
1.3843615E-001	-1.857709376017255E+001
1.8845138E-001	-8.178103446960449E+000
1.2851711E-001	-1.895757102966309E+001
1.7847505E-001	-8.582520484924316E+000
1.1847205E-001	-1.934912935892743E+001
1.6851400E-001	-8.923143704732269E+000
1.0849192E-001	-1.964289283752441E+001
1.5848805E-001	-9.164062817891448E+000
9.8469786E-002	-1.988024584452313E+001
1.4851937E-001	-9.426629066467285E+000
8.8478200E-002	-2.017757415771484E+001
1.3846669E-001	-9.734525998433440E+000
7.8414068E-002	-2.044765281677246E+001
1.2850946E-001	-9.940300305684417E+000
6.8487383E-002	-2.060045433044434E+001
1.1853314E-001	-1.007043743133545E+001
5.8484338E-002	-2.072931925455731E+001
1.0852628E-001	-1.023037052154541E+001
4.8454568E-002	-2.089752960205078E+001
9.8515607E-002	-1.040214633941650E+001
3.8443886E-002	-2.103225135803223E+001
8.8592738E-002	-1.047409152984619E+001
2.8490478E-002	-2.104141871134442E+001
7.8467518E-002	-1.048389561971030E+001
1.8456889E-002	-2.104944038391113E+001
6.8556108E-002	-1.053024609883627E+001
8.4882071E-003	-2.111119842529297E+001
5.8469065E-002	-1.057965278625488E+001
-1.4575673E-003	-2.111196327209473E+001
4.8477475E-002	-1.053483041127524E+001
-1.1510244E-002	-2.099697939554852E+001
3.8550790E-002	-1.043614578247070E+001
-2.1478925E-002	-2.090631675720215E+001
2.8540110E-002	-1.039399751027426E+001
-3.1546872E-002	-2.086773363749188E+001
1.8563792E-002	-1.034522755940756E+001
-4.1492645E-002	-2.075555102030438E+001
8.4996615E-003	-1.019458993275961E+001
-5.1522415E-002	-2.056314722696942E+001
