Ewe/V	<I>/mA	
1.2785623E+000	4.478638076782227E+001
1.3285087E+000	5.351421864827478E+001
1.2685897E+000	4.296446228027344E+001
1.3185592E+000	5.175342051188147E+001
1.2585104E+000	4.133188883463538E+001
1.3085446E+000	5.006915410359704E+001
1.2485569E+000	3.975522104899085E+001
1.2985034E+000	4.841900889078772E+001
1.2385539E+000	3.818313471476233E+001
1.2885500E+000	4.676352055867517E+001
1.2285317E+000	3.661678187052405E+001
1.2785279E+000	4.513362248738599E+001
1.2185745E+000	3.510747400919593E+001
1.2685783E+000	4.356446711222327E+001
1.2085295E+000	3.364311091105139E+001
1.2586097E+000	4.202408599853516E+001
1.1985761E+000	3.217098871866858E+001
1.2485836E+000	4.047364679972327E+001
1.1885806E+000	3.072190729777014E+001
1.2385615E+000	3.896536127726233E+001
1.1785700E+000	2.932159868876136E+001
1.2285699E+000	3.751131312052405E+001
1.1685212E+000	2.796114476521808E+001
1.2185440E+000	3.607624053955078E+001
1.1585562E+000	2.660018221537274E+001
1.2085829E+000	3.464371490478516E+001
1.1486143E+000	2.526570256551105E+001
1.1985990E+000	3.326339594523108E+001
1.1385999E+000	2.398789087931317E+001
1.1885692E+000	3.193745485941571E+001
1.1285930E+000	2.274089241027832E+001
1.1785738E+000	3.061762046813965E+001
1.1185403E+000	2.149325752258301E+001
1.1685860E+000	2.931688690185547E+001
1.1085984E+000	2.027962303161621E+001
1.1585600E+000	2.807078043619794E+001
1.0986143E+000	1.912876319885254E+001
1.1485990E+000	2.687433497111005E+001
1.0885847E+000	1.799789619445801E+001
1.1385883E+000	2.568552907307941E+001
1.0784670E+000	1.685824203491211E+001
1.1285892E+000	2.452473640441895E+001
1.0685098E+000	1.578404076894122E+001
1.1185479E+000	2.342761294047034E+001
1.0585105E+000	1.475338586171466E+001
1.1086174E+000	2.236856333414715E+001
1.0484540E+000	1.374399598439535E+001
1.0986334E+000	2.131842613220215E+001
1.0384969E+000	1.274492104848224E+001
1.0885006E+000	2.029171943664551E+001
1.0285358E+000	1.179830678304037E+001
1.0784975E+000	1.934395980834961E+001
1.0184641E+000	1.089575258890787E+001
1.0685327E+000	1.842217953999835E+001
1.0084801E+000	1.001267973581949E+001
1.0585029E+000	1.751414871215820E+001
9.9847317E-001	9.143869082132966E+000
1.0485266E+000	1.664953931172687E+001
9.8845106E-001	8.328411102294922E+000
1.0385388E+000	1.584999942779541E+001
9.7847474E-001	7.553575356801346E+000
1.0285128E+000	1.506752268473306E+001
9.6849841E-001	6.787142276763916E+000
1.0185213E+000	1.430287202199301E+001
9.5849919E-001	6.044138590494796E+000
1.0084991E+000	1.358520825703937E+001
9.4848847E-001	5.359964370727539E+000
9.9854571E-001	1.291835149129233E+001
9.3845874E-001	4.700111230214432E+000
9.8853499E-001	1.226575724283853E+001
9.2853582E-001	4.053119023640946E+000
9.7852820E-001	1.163213411966959E+001
9.1850990E-001	3.425864140192665E+000
9.6851748E-001	1.104842789967856E+001
9.0849155E-001	2.859475215276085E+000
9.5852590E-001	1.050865173339844E+001
8.9849234E-001	2.303782463073730E+000
9.4856489E-001	9.976007143656403E+000
8.8853133E-001	1.752928733825684E+000
9.3858469E-001	9.461189270019531E+000
8.7852448E-001	1.239384174346924E+000
9.2857403E-001	8.992085456848145E+000
8.6860156E-001	7.702798446019496E-001
9.1857481E-001	8.564237276713044E+000
8.5849166E-001	3.139089848846188E-001
9.0853739E-001	8.128368059794099E+000
8.4856880E-001	-1.429711629947028E-001
8.9853817E-001	7.710452715555832E+000
8.3856571E-001	-5.591039558251696E-001
8.8858092E-001	7.346018155415848E+000
8.2853597E-001	-9.348713159561157E-001
8.7859696E-001	7.002339045206710E+000
8.1854057E-001	-1.313822150230408E+000
8.6858630E-001	6.650893370310456E+000
8.0852991E-001	-1.683095415433247E+000
8.5855269E-001	6.325168768564865E+000
7.9853064E-001	-2.015059312184654E+000
8.4861076E-001	6.049232165018708E+000
7.8853142E-001	-2.310223420461021E+000
8.3858484E-001	5.779790242513016E+000
7.7853221E-001	-2.612645467122398E+000
8.2850540E-001	5.511494000752762E+000
7.6855969E-001	-2.905771891276046E+000
8.1860548E-001	5.260769844055176E+000
7.5856429E-001	-3.152166446050011E+000
8.0855280E-001	5.061235268910721E+000
7.4851543E-001	-3.375385602315269E+000
7.9850394E-001	4.866666158040360E+000
7.3845893E-001	-3.606245120366417E+000
7.8853142E-001	4.656944274902344E+000
7.2863150E-001	-3.832520564397178E+000
7.7859712E-001	4.485805352528885E+000
7.1856356E-001	-4.006461143493652E+000
7.6852912E-001	4.351593971252441E+000
7.0856053E-001	-4.167031208674111E+000
7.5852609E-001	4.203629811604813E+000
6.9856513E-001	-4.340080738067627E+000
7.4857271E-001	4.053119182586670E+000
6.8858117E-001	-4.503324508666992E+000
7.3853528E-001	3.933550993601479E+000
6.7859340E-001	-4.619454542795822E+000
7.2849411E-001	3.844925642013550E+000
6.6842616E-001	-4.754558086395264E+000
7.1850628E-001	3.747259140014648E+000
6.5855294E-001	-4.895517985026046E+000
7.0850706E-001	3.640297174453735E+000
6.4853078E-001	-5.025655428568527E+000
6.9851547E-001	3.562113364537552E+000
6.3849342E-001	-5.123321533203125E+000
6.8846667E-001	3.511178970336914E+000
6.2849420E-001	-5.237923304239914E+000
6.7848653E-001	3.426882823308311E+000
6.1848736E-001	-5.379139105478927E+000
6.6837275E-001	3.338129917780556E+000
6.0846138E-001	-5.493486404418945E+000
